"prompt","prompt_token_len","has_code_keyword","has_length_constraint","instruction_verb","ends_with_question","has_format_keyword","clause_count","actual_output_tokens"
"What does percolate mean?","6","0","0","what","1","0","0","98"
"Are the Golden State Warriors a good basketball team?","13","0","0","other","1","0","0","347"
"How do we increase voter turnout in the United States?","13","0","0","how","1","0","0","1972"
"What is Unified Payments Interface (UPI) in India","12","0","0","what","0","0","0","834"
"Extract all the locations in the text

Context: Todd, third son of Ira and Sally (Hmman) Todd, was born in Hartwick, New York., March 4, 1813. He had spent one year at Amherst College, before entering as Sophomore at Yale College, where he graduated in 1836. He taught a high school in Canaan, Conn., until the spring of 1837, when he began law studies with Judge Arphaxad Loomis, of Little Falls, New York. Upon his admission to the bar in 1839, he decided to emigrate to the West. He selected St. Louis and arrived there in November, 1839, beginning practice in March, 1840. He gave special attention to questions affecting real property, and achieved distinguished success in litigated cases of this nature. Through apprehensions with regard to his health, he retired in 1860, at a comparatively early age, from active practice, confining himself thereafter to office consultations. He declined all political nominations until 1854, when he was elected to the Missouri House of Representatives. In 1860 he was an unsuccessful candidate for US Congress on the Bell and Everett ticket. In 1875, he was a member of the convention which revised the Constitution of Missouri. He was a director of Washington University, in St. Louis, and served gratuitously for fifteen years in its Law Department as lecturer. Among his students was Lemma Barkaloo, the first female law student in the United States. After a month's illness, he died at his home in St. Louis, of meningitis, April 30, 1885, in his 73rd year.","376","0","0","other","0","0","36","17"
"Give me an example of a screened subnet","9","0","0","other","0","0","0","289"
"What should you do when your rock climbing partner calls out ""On Belay?""","18","0","0","what","0","0","0","215"
"What planning should you do to visit Walt Disney World?","13","0","0","what","1","0","0","1123"
"What are the types of space objects ?","9","0","0","what","1","0","0","356"
"Why Do We Need GIS?","4","0","0","why","1","0","0","1376"
"Write a creative writing prompt to give to students for an exam about creative non-fiction about nature.","26","0","0","write","0","0","0","58"
"Should superheroes be allowed to break the law?","11","0","0","other","1","0","0","1209"
"What causes ocean tides?","6","0","0","what","1","0","0","281"
"Where was William José born?

Context: Born in Porto Calvo, Alagoas, Willian José started his career at local CRB's youth setup, before joining Grêmio Barueri in 2008, aged 17. On 1 August 2009 he made his first team – and Série A – debut, coming on as a late substitute in a 2–1 loss at Botafogo.

Willian José scored his first goal as a professional on 17 January of the following year, netting his side's only in a 1–1 draw at Sertãozinho for the Campeonato Paulista championship. He scored six further times during the campaign, which ended in relegation.","139","0","0","other","0","1","8","33"
"What are the best complex board games for two players?","13","0","0","what","1","0","0","70"
"What is ""Six Feet Under""?

Context: Six Feet Under is an American drama television series created and produced by Alan Ball. It premiered on the premium network HBO in the United States on June 3, 2001, and ended on August 21, 2005, spanning 63 episodes across five seasons. It depicts the lives of the Fisher family, who run a funeral home in Los Angeles, along with their friends and lovers.","98","0","0","what","0","0","9","283"
"What was special about the 2021 Formula 1 World Championship?","15","0","0","what","1","0","0","240"
"What happened on January 6, 2021?

Context: On January 6, 2021, following the defeat of U.S. President Donald Trump in the 2020 presidential election, a mob of his supporters attacked the United States Capitol Building in Washington, D.C. The mob sought to keep Trump in power by preventing a joint session of Congress from counting the electoral college votes to formalize the victory of President-elect Joe Biden. According to the House select committee investigating the incident, the attack was the culmination of a seven-part plan by Trump to overturn the election. Five people died either shortly before, during, or following the event: one was shot by Capitol Police, another died of a drug overdose, and three died of natural causes. Many people were injured, including 138 police officers. Four officers who responded to the attack died by suicide within seven months. As of July 7, 2022, monetary damages caused by attackers exceed $2.7 million.","238","0","1","what","0","0","14","1289"
"Name all of the field positions in baseball in a bulleted list.","15","0","0","list","0","1","0","40"
"What are the advantages and disadvantages of learning Java over Python?","17","0","0","what","1","0","1","1915"
"Who is Thomas Jefferson?

Context: Thomas Jefferson (April 13, 1743 – July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. Among the Committee of Five charged by the Second Continental Congress with authoring the Declaration of Independence, Jefferson was the Declaration's primary author. Following the American Revolutionary War and prior to becoming the nation's third president in 1801, Jefferson was the first United States secretary of state under George Washington and then the nation's second vice president under John Adams.","164","0","0","other","0","0","12","1417"
"Name some famous poets and their poems.","9","0","0","other","0","0","1","1492"
