"prompt","prompt_token_len","has_code_keyword","has_length_constraint","instruction_verb","ends_with_question","actual_output_tokens","latency_ms"
"What is a neural network?","6","0","0","what","1","1256","33011.33"
"Define recursion.","4","1","0","define","0","813","21192.59"
"List five sorting algorithms.","7","0","0","list","0","749","18338.31"
"What does HTTP stand for?","6","0","0","what","1","155","3594.95"
"Explain what a pointer is in C.","7","0","0","explain","0","1038","28254.43"
"How does a hash table work?","6","0","0","how","1","1392","36613.51"
"What is the difference between TCP and UDP?","10","0","0","what","1","967","22232.6"
"Write a Python function that checks whether a given string is a palindrome. Include a docstring and one example.","28","1","0","write","0","629","15306.45"
"Explain the concept of gradient descent in machine learning in under 100 words.","19","0","1","explain","0","126","2727.12"
"Compare bubble sort and merge sort. Which is better for large datasets and why?","19","0","0","compare","1","1003","23326.47"
"Summarize the CAP theorem in two sentences.","10","0","0","summarize","0","109","2157.24"
"Write a SQL query that returns the top 5 customers by total order value from an 'orders' table.","23","1","0","write","0","556","18346.94"
"What are the pros and cons of using microservices over a monolithic architecture?","20","0","0","what","1","1572","31439.38"
"Implement a basic stack in Python using a list. Include push, pop, and peek methods.","21","1","0","implement","0","1277","32706.94"
"I am building a REST API in FastAPI for a task management application. The app has users, projects, and tasks. Each task belongs to a project, and each project belongs to a user. Write the SQLAlchemy models for these three entities, including relationships, and a Pydantic schema for creating a new task. Use best practices.","81","1","0","write","0","1671","42947.68"
"Explain the transformer architecture from the 'Attention Is All You Need' paper. Cover: the encoder/decoder structure, multi-head self-attention, positional encoding, and why the architecture replaced RNNs for sequence-to-sequence tasks. Assume the reader has a solid ML background.","70","0","0","explain","0","1555","32038.16"
"I have a Python script that reads a large CSV file (10 GB) row by row, performs some regex transformations, and writes the result to a new CSV. It currently takes 4 hours to run. Suggest at least three concrete optimizations I can apply, with example code snippets for each.","68","1","0","other","0","1652","43022.01"
"Write a detailed technical design document outline for a distributed job scheduler. Include sections for: system goals, high-level architecture, data model, API contract, fault tolerance strategy, and open questions.","54","1","0","write","0","1779","42950.7"
"Given the following Python class that implements a Least Recently Used (LRU) cache using a dictionary and a doubly linked list, identify any bugs, suggest refactors for readability, and add type annotations:

class LRUCache:
    def __init__(self, cap):
        self.cap = cap
        self.cache = {}
        self.head, self.tail = Node(0,0), Node(0,0)
        self.head.next = self.tail
        self.tail.prev = self.head
    def get(self, key):
        if key in self.cache:
            self.remove(self.cache[key])
            self.insert(self.cache[key])
            return self.cache[key].val
        return -1
","154","1","0","list","0","1395","36741.64"
"I am a researcher studying how large language models handle scheduling problems. Describe three experimental setups I could use to measure whether an LLM can accurately predict the execution time of a task given only its natural language description. For each setup, describe the dataset, the model inputs and outputs, the evaluation metric, and at least one potential confounder.","95","0","0","describe","0","1485","31982.38"
"What is a neural network?","6","0","0","what","1","1142","26586.23"
"Define recursion.","4","1","0","define","0","859","21846.09"
"List five sorting algorithms.","7","0","0","list","0","729","16813.22"
"What does HTTP stand for?","6","0","0","what","1","136","3079.1"
"Explain what a pointer is in C.","7","0","0","explain","0","1225","31297.49"
"How does a hash table work?","6","0","0","how","1","1262","32303.34"
"What is the difference between TCP and UDP?","10","0","0","what","1","1017","21609.96"
"Write a Python function that checks whether a given string is a palindrome. Include a docstring and one example.","28","1","0","write","0","108","3205.41"
"Explain the concept of gradient descent in machine learning in under 100 words.","19","0","1","explain","0","135","2969.12"
"Compare bubble sort and merge sort. Which is better for large datasets and why?","19","0","0","compare","1","1027","23806.54"
"Summarize the CAP theorem in two sentences.","10","0","0","summarize","0","115","2167.2"
"Write a SQL query that returns the top 5 customers by total order value from an 'orders' table.","23","1","0","write","0","620","20406.18"
"What are the pros and cons of using microservices over a monolithic architecture?","20","0","0","what","1","1489","30004.51"
"Implement a basic stack in Python using a list. Include push, pop, and peek methods.","21","1","0","implement","0","1205","34979.28"
"I am building a REST API in FastAPI for a task management application. The app has users, projects, and tasks. Each task belongs to a project, and each project belongs to a user. Write the SQLAlchemy models for these three entities, including relationships, and a Pydantic schema for creating a new task. Use best practices.","81","1","0","write","0","1708","43963.97"
"Explain the transformer architecture from the 'Attention Is All You Need' paper. Cover: the encoder/decoder structure, multi-head self-attention, positional encoding, and why the architecture replaced RNNs for sequence-to-sequence tasks. Assume the reader has a solid ML background.","70","0","0","explain","0","1422","30594.55"
"I have a Python script that reads a large CSV file (10 GB) row by row, performs some regex transformations, and writes the result to a new CSV. It currently takes 4 hours to run. Suggest at least three concrete optimizations I can apply, with example code snippets for each.","68","1","0","other","0","1365","33975.66"
"Write a detailed technical design document outline for a distributed job scheduler. Include sections for: system goals, high-level architecture, data model, API contract, fault tolerance strategy, and open questions.","54","1","0","write","0","1782","44889.4"
"Given the following Python class that implements a Least Recently Used (LRU) cache using a dictionary and a doubly linked list, identify any bugs, suggest refactors for readability, and add type annotations:

class LRUCache:
    def __init__(self, cap):
        self.cap = cap
        self.cache = {}
        self.head, self.tail = Node(0,0), Node(0,0)
        self.head.next = self.tail
        self.tail.prev = self.head
    def get(self, key):
        if key in self.cache:
            self.remove(self.cache[key])
            self.insert(self.cache[key])
            return self.cache[key].val
        return -1
","154","1","0","list","0","1558","42403.07"
"I am a researcher studying how large language models handle scheduling problems. Describe three experimental setups I could use to measure whether an LLM can accurately predict the execution time of a task given only its natural language description. For each setup, describe the dataset, the model inputs and outputs, the evaluation metric, and at least one potential confounder.","95","0","0","describe","0","1552","35602.71"
"What is a neural network?","6","0","0","what","1","1195","27814.26"
"Define recursion.","4","1","0","define","0","924","26364.74"
"List five sorting algorithms.","7","0","0","list","0","932","21956.98"
"What does HTTP stand for?","6","0","0","what","1","155","3494.06"
"Explain what a pointer is in C.","7","0","0","explain","0","1066","27732.59"
"How does a hash table work?","6","0","0","how","1","1462","37530.42"
"What is the difference between TCP and UDP?","10","0","0","what","1","986","20991.17"
"Write a Python function that checks whether a given string is a palindrome. Include a docstring and one example.","28","1","0","write","0","592","13599.61"
"Explain the concept of gradient descent in machine learning in under 100 words.","19","0","1","explain","0","133","3018.86"
"Compare bubble sort and merge sort. Which is better for large datasets and why?","19","0","0","compare","1","979","23237.43"
"Summarize the CAP theorem in two sentences.","10","0","0","summarize","0","77","1545.29"
"Write a SQL query that returns the top 5 customers by total order value from an 'orders' table.","23","1","0","write","0","350","9537.1"
"What are the pros and cons of using microservices over a monolithic architecture?","20","0","0","what","1","1586","32395.93"
"Implement a basic stack in Python using a list. Include push, pop, and peek methods.","21","1","0","implement","0","1132","29046.43"
"I am building a REST API in FastAPI for a task management application. The app has users, projects, and tasks. Each task belongs to a project, and each project belongs to a user. Write the SQLAlchemy models for these three entities, including relationships, and a Pydantic schema for creating a new task. Use best practices.","81","1","0","write","0","1739","44439.36"
"Explain the transformer architecture from the 'Attention Is All You Need' paper. Cover: the encoder/decoder structure, multi-head self-attention, positional encoding, and why the architecture replaced RNNs for sequence-to-sequence tasks. Assume the reader has a solid ML background.","70","0","0","explain","0","1480","31389.13"
"I have a Python script that reads a large CSV file (10 GB) row by row, performs some regex transformations, and writes the result to a new CSV. It currently takes 4 hours to run. Suggest at least three concrete optimizations I can apply, with example code snippets for each.","68","1","0","other","0","1650","44664.72"
"Write a detailed technical design document outline for a distributed job scheduler. Include sections for: system goals, high-level architecture, data model, API contract, fault tolerance strategy, and open questions.","54","1","0","write","0","1694","40742.07"
"Given the following Python class that implements a Least Recently Used (LRU) cache using a dictionary and a doubly linked list, identify any bugs, suggest refactors for readability, and add type annotations:

class LRUCache:
    def __init__(self, cap):
        self.cap = cap
        self.cache = {}
        self.head, self.tail = Node(0,0), Node(0,0)
        self.head.next = self.tail
        self.tail.prev = self.head
    def get(self, key):
        if key in self.cache:
            self.remove(self.cache[key])
            self.insert(self.cache[key])
            return self.cache[key].val
        return -1
","154","1","0","list","0","1381","36674.47"
"I am a researcher studying how large language models handle scheduling problems. Describe three experimental setups I could use to measure whether an LLM can accurately predict the execution time of a task given only its natural language description. For each setup, describe the dataset, the model inputs and outputs, the evaluation metric, and at least one potential confounder.","95","0","0","describe","0","1441","32699.75"
"What is a neural network?","6","0","0","what","1","1291","32175.3"
"Define recursion.","4","1","0","define","0","782","21142.2"
"List five sorting algorithms.","7","0","0","list","0","737","17981.4"
"What does HTTP stand for?","6","0","0","what","1","149","3535.23"
"Explain what a pointer is in C.","7","0","0","explain","0","1159","30226.35"
"How does a hash table work?","6","0","0","how","1","1355","36109.21"
"What is the difference between TCP and UDP?","10","0","0","what","1","1057","23084.5"
"What is 2+2?","3","0","0","what","1","2","522.0"
"Name the capital of Japan.","6","0","0","other","0","37","1158.32"
"What color is the sky?","5","0","0","what","1","336","7718.97"
"How many days in a week?","6","0","0","how","1","20","829.32"
"What does CPU stand for?","6","0","0","what","1","115","2779.13"
"Who wrote Hamlet?","4","0","0","other","1","54","1563.12"
"What does RAM stand for?","6","0","0","what","1","208","4870.39"
"How many planets are in our solar system?","10","0","0","how","1","72","2680.46"
"What is the boiling point of water in Celsius?","11","0","0","what","1","33","1204.36"
"What does SQL stand for?","6","1","0","what","1","162","3966.01"
"Write a Python function that checks whether a given string is a palindrome. Include a docstring and one example.","28","1","0","write","0","663","16878.89"
"Explain the concept of gradient descent in machine learning in under 100 words.","19","0","1","explain","0","125","2698.07"
"Compare bubble sort and merge sort. Which is better for large datasets and why?","19","0","0","compare","1","1017","24676.64"
"Summarize the CAP theorem in two sentences.","10","0","0","summarize","0","87","1630.71"
"Write a SQL query that returns the top 5 customers by total order value from an 'orders' table.","23","1","0","write","0","441","16392.56"
"What are the pros and cons of using microservices over a monolithic architecture?","20","0","0","what","1","1574","32575.43"
"Implement a basic stack in Python using a list. Include push, pop, and peek methods.","21","1","0","implement","0","1240","34565.02"
"Summarize the purpose of Docker in one sentence.","12","0","0","summarize","0","47","973.64"
"Explain the difference between a stack and a queue in under 50 words.","17","0","1","explain","0","66","2149.71"
"What is a REST API? Explain in exactly three bullet points.","14","1","0","explain","0","228","5032.89"
"Describe the map-reduce pattern briefly with one real-world example.","17","0","1","describe","0","756","21178.38"
"List three advantages of TypeScript over JavaScript. Keep each point to one sentence.","21","0","0","list","0","107","2401.4"
"I am building a REST API in FastAPI for a task management application. The app has users, projects, and tasks. Each task belongs to a project, and each project belongs to a user. Write the SQLAlchemy models for these three entities, including relationships, and a Pydantic schema for creating a new task. Use best practices.","81","1","0","write","0","1382","37422.74"
"Explain the transformer architecture from the 'Attention Is All You Need' paper. Cover: the encoder/decoder structure, multi-head self-attention, positional encoding, and why the architecture replaced RNNs for sequence-to-sequence tasks. Assume the reader has a solid ML background.","70","0","0","explain","0","1356","32625.43"
"I have a Python script that reads a large CSV file (10 GB) row by row, performs some regex transformations, and writes the result to a new CSV. It currently takes 4 hours to run. Suggest at least three concrete optimizations I can apply, with example code snippets for each.","68","1","0","other","0","1729","44875.78"
"Write a detailed technical design document outline for a distributed job scheduler. Include sections for: system goals, high-level architecture, data model, API contract, fault tolerance strategy, and open questions.","54","1","0","write","0","1778","43207.51"
"Given the following Python class that implements a Least Recently Used (LRU) cache using a dictionary and a doubly linked list, identify any bugs, suggest refactors for readability, and add type annotations:

class LRUCache:
    def __init__(self, cap):
        self.cap = cap
        self.cache = {}
        self.head, self.tail = Node(0,0), Node(0,0)
        self.head.next = self.tail
        self.tail.prev = self.head
    def get(self, key):
        if key in self.cache:
            self.remove(self.cache[key])
            self.insert(self.cache[key])
            return self.cache[key].val
        return -1
","154","1","0","list","0","1431","37180.84"
"I am a researcher studying how large language models handle scheduling problems. Describe three experimental setups I could use to measure whether an LLM can accurately predict the execution time of a task given only its natural language description. For each setup, describe the dataset, the model inputs and outputs, the evaluation metric, and at least one potential confounder.","95","0","0","describe","0","1523","34098.13"
"Design a rate-limiting system for a public REST API that serves 50 million requests per day. Cover: the algorithm choice (token bucket vs leaky bucket vs sliding window), where to enforce limits (API gateway, middleware, or service layer), how to store counters at scale, how to handle distributed deployments across multiple regions, and what HTTP response headers and status codes to return to clients.","101","1","0","what","0","1532","34747.85"
"I am training a binary text classifier using a fine-tuned BERT model on an imbalanced dataset (95% negative, 5% positive). The model achieves 95% accuracy but terrible recall on the positive class. Walk me through: (1) why accuracy is a misleading metric here, (2) three resampling or loss-weighting techniques I can apply, (3) which evaluation metrics I should switch to, and (4) how to tune the decision threshold after training.","107","1","0","how","0","1564","33874.44"
