"prompt","prompt_token_len","has_code_keyword","has_length_constraint","instruction_verb","ends_with_question","has_format_keyword","clause_count","actual_output_tokens"
"What are other good pet recommendations for a busy person like myself who wants a pet that is active and loving yet a bit more realistic given my ability to invest in their well being?","46","0","0","what","1","1","1","277"
"What can you tell me about life around the Gualtar location for a student?","18","0","0","what","1","0","0","229"
"How can I write a python script to create a window that will display the titles and links to my ""Watch Later"" videos on Youtube?","32","1","0","write","1","0","1","837"
"What are some interesting facts about Stephen Hawking","13","0","0","what","0","0","0","370"
"I don't like the way the text was formatted. Can you please rewrite the text with more appropriate and eye-pleasing formatting?","31","0","0","other","1","1","1","1219"
"Give me a script from the opening scene from a reunion show for Seinfeld but have Larry David act as himself in the opening scene.","32","1","0","other","0","0","1","352"
"Please define the difference between vanity and hubris","13","0","0","define","0","0","1","291"
"Please give me a brief history of coffee.","10","0","0","other","0","0","0","852"
"Tell me about the game, Portal 2, an 11 year old game which you might not know much about.","22","0","0","other","0","0","2","116"
"Hmm that is very short. Can you give me more details?","13","0","0","other","1","0","0","1077"
"Which one is better?","5","0","0","other","1","0","0","51"
"What would happen to the people on Earth if it suddenly stopped :
- a) to rotate on itself
- b) to revolve around the sun","30","0","0","what","0","0","0","327"
"List 10 of the most influential mathematicians of all time and write an argument for each of them as to why they are the greatest mathematician of all time.","39","0","0","list","0","1","1","904"
"Can you list more advantages and explain in detail?","12","0","0","explain","1","1","1","509"
"Are there any keyboard shortcuts in the terminal I can use to speed this up?","19","0","0","other","1","0","0","23"
"Thanks! Can you give a simple explanation as to why 45 is ideal?","16","0","0","why","1","0","0","67"
"Thanks! Can you give me a more comprehensive comparison of different Android distros? Includes UX/UI design elements and others.","32","0","0","other","0","0","1","805"
"Can you please give me a list of all ecumenical councils and summarize what the core issues that needed to be discussed that time and what was decided at each of them","41","0","0","summarize","0","1","2","1412"
"Ok, I will try that.","5","0","0","other","0","0","1","25"
"Now continue the prompt:
The son of Hither, Yon began his Illustrious voyage into the sky to seek the firmament on his hot air balloon made from a billion hides & a volcanic flame. Be descriptive.","49","0","0","other","0","0","1","1169"
